# Distance (m)	Slope (deg)
320	 6.451705221234
321	 6.411168316316
322	 6.370631411399
323	 6.330094506481
324	 6.289557601564
325	 6.249020696647
326	 6.208483791729
327	 6.167946886812
328	 6.127409981895
329	 6.086873076977
330	 6.162379723007
331	 6.396813265936
332	 6.631246808865
333	 6.865680351793
334	 7.100113894722
335	 7.334547437650
336	 7.568980980579
337	 7.803414523508
338	 8.037848066436
339	 8.272281609365
340	 8.506715152293
341	 8.741148695222
342	 8.975582238151
343	 9.210015781079
344	 9.444449324008
345	 9.965764205012
346	 10.879976066806
347	 11.794187928600
348	 12.708399790394
349	 13.622611652188
350	 14.536823513982
351	 15.451035375776
352	 16.365247237570
353	 17.279459099364
354	 18.193670961158
355	 19.107882822952
356	 20.022094684746
357	 20.936306546540
358	 21.850518408334
359	 22.764730270128
360	 23.281167272542
361	 23.252833595832
362	 23.224499919121
363	 23.196166242411
364	 23.167832565700
365	 23.139498888990
366	 23.111165212279
367	 23.082831535569
368	 23.054497858858
369	 23.026164182148
370	 22.997830505437
371	 22.969496828727
372	 22.941163152016
373	 22.912829475306
374	 22.884495798595
375	 23.017539088421
376	 23.371595440085
377	 23.725651791749
378	 24.079708143412
379	 24.433764495076
380	 24.787820846740
381	 25.141877198404
382	 25.495933550067
383	 25.849989901731
384	 26.204046253395
385	 26.558102605058
386	 26.912158956722
387	 27.266215308386
388	 27.620271660050
389	 27.974328011713
390	 28.145589689859
391	 28.066505786830
392	 27.987421883801
393	 27.908337980772
394	 27.829254077743
395	 27.750170174714
396	 27.671086271684
397	 27.592002368655
398	 27.512918465626
399	 27.433834562597
400	 27.354750659568
401	 27.275666756539
402	 27.196582853510
403	 27.117498950481
404	 27.038415047452
405	 26.700561761505
406	 26.008312090369
407	 25.316062419233
408	 24.623812748097
409	 23.931563076961
410	 23.239313405825
411	 22.547063734688
412	 21.854814063552
413	 21.162564392416
414	 20.470314721280
415	 19.778065050144
416	 19.085815379007
417	 18.393565707871
418	 17.701316036735
419	 17.009066365599
420	 16.611249536459
421	 16.616671814669
422	 16.622094092879
423	 16.627516371089
424	 16.632938649299
425	 16.638360927509
426	 16.643783205719
427	 16.649205483929
428	 16.654627762139
429	 16.660050040349
430	 16.665472318559
431	 16.670894596769
432	 16.676316874979
433	 16.681739153189
434	 16.687161431399
435	 16.740531207447
436	 16.859567252564
437	 16.978603297681
438	 17.097639342798
439	 17.216675387915
440	 17.335711433032
441	 17.454747478149
442	 17.573783523266
443	 17.692819568383
444	 17.811855613500
445	 17.930891658617
446	 18.049927703734
447	 18.168963748851
448	 18.287999793968
449	 18.407035839085
450	 18.097246895772
451	 17.200162715835
452	 16.303078535897
453	 15.405994355959
454	 14.508910176021
455	 13.611825996083
456	 12.714741816146
457	 11.817657636208
458	 10.920573456270
459	 10.023489276332
460	 9.126405096394
461	 8.229320916456
462	 7.332236736519
463	 6.435152556581
464	 5.538068376643
465	 4.878417517429
466	 4.543942340693
467	 4.209467163958
468	 3.874991987223
469	 3.540516810488
470	 3.206041633753
471	 2.871566457017
472	 2.537091280282
473	 2.202616103547
474	 1.868140926812
475	 1.533665750077
476	 1.199190573341
477	 0.864715396606
478	 0.530240219871
479	 0.195765043136
480	 0.002633174479
481	 0.003077365499
482	 0.003521556519
483	 0.003965747539
484	 0.004409938559
485	 0.004854129579
486	 0.005298320598
487	 0.005742511618
488	 0.006186702638
489	 0.006630893658
490	 0.007075084678
491	 0.007519275697
492	 0.007963466717
493	 0.008407657737
494	 0.008851848757
495	 0.009296039777
496	 0.009740230796
497	 0.010184421816
498	 0.010628612836
499	 0.011072803856
500	 0.011516994876
501	 0.011961185895
502	 0.012405376915
503	 0.012849567935
504	 0.013293758955
505	 0.013737949975
506	 0.014182140994
507	 0.014626332014
